Campaign ID,Timestamp,Date,InventoryType,Ad Type,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC
122903,2014-09-07-17,9/7/2014,Format4,Inter221,"1,063,726","722,727",613812,85311,6992.49,30,4894.74,13.90%,$11.39,$0.08
122904,2014-09-08-07,9/8/2014,Format5,Inter223,"174,902","110,980",99056,14264,1382.37,35,898.54,14.40%,$13.96,$0.10
122905,2014-09-07-17,9/7/2014,Format5,Inter224,"454,259","220,386",194662,24085,1608.48,35,1045.51,12.37%,$8.26,$0.07
122906,2014-09-08-07,9/8/2014,Format3,Inter223,"991,571","559,100",532373,2978,1676.58,35,1089.78,0.56%,$3.15,$0.56
122907,2014-09-08-07,9/8/2014,Format2,Inter223,"7,239,248","4,436,874",4256563,7242,9282.48,27,6776.21,0.17%,$2.18,$1.28
122908,2014-09-08-00,9/8/2014,Format1,Inter218,"3,371,558","2,279,471",2222978,4838,3225.56,33,2161.13,0.22%,$1.45,$0.67
122909,2014-09-08-01,9/8/2014,Format3,Inter224,"441,234","245,235",233335,581,282.77,35,183.8,0.25%,$1.21,$0.49
122910,2014-09-08-14,9/8/2014,Format1,Inter219,"2,905,136","1,642,297",1616180,4175,2975.93,35,1934.35,0.26%,$1.84,$0.71
122911,2014-09-07-21,9/7/2014,Format4,Inter222,"1,183,357","688,619",585008,87919,6240.94,30,4368.66,15.03%,$10.67,$0.07
122912,2014-09-08-15,9/8/2014,Format5,Inter225,"259,050","151,584",129661,13271,1309.88,35,851.42,10.24%,$10.10,$0.10
122913,2014-09-07-23,9/7/2014,Format4,Inter223,"752,029","392,293",331450,46944,3126.2,33,2094.55,14.16%,$9.43,$0.07
122914,2014-09-07-23,9/7/2014,Format3,Inter225,"1,299,835","578,094",545716,1911,548.83,35,356.74,0.35%,$1.01,$0.29
122915,2014-09-07-17,9/7/2014,Format3,Inter226,"3,223,510","1,343,917",1253655,7616,1938.95,35,1260.32,0.61%,$1.55,$0.25
122916,2014-09-08-11,9/8/2014,Format3,Inter227,"997,970","520,449",495153,2797,1325.72,35,861.72,0.56%,$2.68,$0.47
122917,2014-09-08-10,9/8/2014,Format1,Inter220,"4,658,861","2,990,279",2914323,6462,4393.77,33,2943.83,0.22%,$1.51,$0.68
